ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
AACI,2022-06-30,USD,150711970,602816,439863,439863,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,162953,NA,3463183,3463183,NA,NA,NA,NA,150000000,NA,NA,483034,NA,NA,483034,NA,147248787,NA,-4214478,570,5709500
AADI,2022-09-30,USD,194103000,189863000,134815000,183000000,734000,2261000,4304000,457000,NA,0,0,NA,175996000,NA,48192000,3861000,2210000,24995000,17891000,3920000,NA,NA,374000,1347000,1721000,NA,NA,NA,1721000,13597000,NA,169108000,NA,-189285000,2000,24395117
AAL,2022-09-30,USD,66652000000,17377000000,332000000,11232000000,2215000000,1991000000,29127000000,36893000000,NA,6160000000,2069000000,4091000000,10900000000,NA,10900000000,1939000000,11739000000,76012000000,21970000000,2117000000,23449000000,2749000000,4216000000,52575000000,7748000000,33598000000,2560000000,36158000000,33598000000,4470000000,1367000000,6000000,NA,-9314000000,6000000,649863026
AAME,2022-09-30,USD,360349000,35543000,21876000,35543000,NA,NA,7377000,3595000,NA,2544000,2544000,NA,224464000,1238000,13667000,25224000,NA,262438000,24411000,NA,NA,NA,1000000,1000000,NA,34738000,1000000,1000000,34738000,31801000,NA,97911000,7529000,51036000,22401000,20367229
AAOI,2022-09-30,USD,414343000,187800000,26268000,26268000,94261000,52832000,226543000,211586000,169898000,8908000,8908000,NA,7200000,NA,NA,14439000,415000,215805000,130889000,52311000,517000,51376000,66134000,5618000,48000,51357000,51357000,0,51357000,10569000,5618000,198538000,NA,-188818000,28000,28058000
AAON,2022-09-30,USD,785843000,336064000,10738000,10738000,176888000,136014000,448095000,296454000,242213000,147399000,65507000,81892000,NA,4242000,NA,2832000,NA,196985000,142184000,48613000,31791000,NA,522000,114516000,1675000,76291000,NA,76291000,76291000,56008000,5642000,523858000,NA,435696000,213000,53214971
AAPL,2022-09-30,USD,352755000000,135405000000,23646000000,48304000000,4946000000,60932000000,217350000000,42117000000,72340000000,NA,NA,NA,292870000000,120805000000,24658000000,21223000000,54428000000,302083000000,153982000000,64115000000,20312000000,21239000000,9982000000,148101000000,812000000,109928000000,11128000000,98959000000,233256000000,60845000000,49142000000,50672000000,NA,-3068000000,64849000000,15943425000
AAT,2022-09-30,USD,3008577000,63431000,63431000,63431000,NA,NA,245016000,194798000,NA,25706000,25706000,NA,2747094000,NA,NA,9633000,NA,1810854000,147248000,NA,18618000,NA,33895000,20485000,26257000,1722436000,33895000,NA,1722436000,8821000,82242000,1230358000,NA,-241549000,605000,60528115
AATC,2022-09-30,USD,21815000,10632000,3411000,4078000,2468000,3712000,11183000,2155000,1033000,2798000,2798000,NA,1948000,1526000,667000,619000,NA,3156000,1525000,1088000,115000,58000,64000,1631000,6000,1631000,58000,1631000,1695000,109000,NA,18659000,NA,-6344000,54000,5407707
AAWW,2022-09-30,USD,6242731000,831900000,465499000,465499000,NA,259663000,5410831000,4930042000,1466810000,60274000,60274000,NA,NA,NA,NA,106738000,NA,3309987000,1157413000,93959000,61976000,397875000,451863000,2152574000,179239000,1604571000,397875000,NA,1604571000,549615000,32752000,2932744000,337626000,2398860000,352000,28364198
