ticker,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AACI,2022-06-30,USD,-506771,NA,NA,967145,-48215,NA,NA,NA,NA,-1550094,NA,483034,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-1337079
AADI,2022-09-30,USD,-8195000,80000,NA,4839000,1178000,12000,102000,198000,7000,-14474000,-48243000,72516000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,16000,NA,16078000,NA,-14500000
AAL,2022-09-30,USD,-593000000,608000000,NA,NA,NA,731000000,455000000,NA,NA,483000000,784000000,-252000000,NA,0,0,NA,NA,NA,NA,NA,125000000,NA,0,NA,-61000000,NA,483000000
AAME,2022-09-30,USD,2170000,32740000,NA,-7831000,-7923000,828000,44000,-7946000,NA,-684000,3889000,-93000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,-684000
AAOI,2022-09-30,USD,-9189000,2527000,NA,233000,5113000,5700000,926000,3502000,1204000,-15627000,-1200000,3585000,3462000,NA,NA,NA,NA,NA,NA,238000,NA,NA,0,NA,NA,NA,-15627000
AAON,2022-09-30,USD,44994000,974000,NA,19892000,22003000,9324000,14359000,9857000,14119000,27473000,-14345000,-37591000,-29958000,NA,2031000,NA,10096000,10096000,NA,NA,NA,NA,2574000,NA,26499000,NA,27473000
AAPL,2022-09-30,USD,24127000000,2755000000,NA,21420000000,21468000000,2865000000,3289000000,18693000000,-435000000,20721000000,-1217000000,-26794000000,-2030000000,24428000000,24428000000,NA,3703000000,3703000000,NA,0,5465000000,NA,-24428000000,NA,-3884000000,NA,20721000000
AAT,2022-09-30,USD,54835000,20928000,NA,5978000,1042000,31729000,25254000,1386000,NA,16369000,-27155000,-24999000,0,NA,NA,NA,24547000,24547000,NA,0,0,NA,0,NA,2681000,NA,12927000
AATC,2022-09-30,USD,210000,NA,NA,608000,1405000,198000,20000,950000,993000,644000,1918000,-664000,NA,NA,NA,NA,650000,650000,NA,NA,NA,NA,0,NA,NA,NA,644000
AAWW,2022-09-30,USD,149587000,NA,NA,NA,-19251000,90432000,25037000,-20453000,NA,60100000,-193142000,-97401000,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,-140956000,NA,60100000
ABBV,2022-09-30,USD,7602000000,NA,NA,778000000,-266000000,2181000000,177000000,-357000000,17000000,3952000000,1286000000,-5518000000,NA,4000000,4000000,NA,2504000000,2504000000,NA,NA,0,NA,7000000,NA,3396000000,NA,3949000000
ABC,2022-09-30,USD,1164470000,NA,NA,1234821000,62662000,158329000,173586000,153155000,-47479000,298676000,-174730000,-673461000,64260000,235282000,235282000,NA,96448000,96448000,NA,NA,NA,NA,-225324000,NA,316279000,NA,294737000
ABCB,2022-09-30,USD,348921000,877448000,1087961000,NA,-229081000,4710000,3115000,NA,NA,92555000,-1395014000,70425000,-953000,NA,139000,NA,10384000,10384000,NA,NA,NA,NA,-139000,NA,-975668000,NA,92555000
ABEO,2022-09-30,USD,-6791000,NA,NA,-1441000,-2275000,780000,2000,-1780000,NA,-9380000,1649000,4189000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4189000,NA,NA,NA,-9484000
ABG,2022-09-30,USD,167800000,29800000,NA,32100000,94100000,17100000,33200000,1200000,3400000,205000000,-111200000,-15400000,0,200000,200000,NA,NA,NA,NA,0,0,NA,-200000,NA,222100000,NA,205000000
ABIO,2022-09-30,USD,-2498000,33000,NA,-508000,-607000,24000,0,NA,NA,-2555000,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,-2333000
ABM,2022-07-31,USD,40800000,NA,NA,-15100000,35900000,27300000,18100000,35700000,NA,56800000,-17800000,-7000000,16600000,31200000,31200000,NA,12800000,12800000,NA,NA,269500000,NA,-31200000,NA,16000000,NA,56800000
ABMD,2022-09-30,USD,13421000,64073000,NA,2636000,32623000,6300000,5609000,4521000,11836000,106133000,101567000,-110182000,NA,112106000,112106000,NA,NA,NA,NA,NA,NA,NA,-108330000,NA,9413000,NA,106133000
ABNB,2022-09-30,USD,965563000,25717000,NA,205772000,3955509000,13856000,5599000,NA,NA,1214288000,-55760000,-3574056000,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-997351000,NA,-2664253000,NA,1214288000
ABOS,2022-09-30,USD,-9183000,38000,NA,382000,1210000,235000,81000,NA,NA,-10710000,55919000,-263000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2000,NA,46473000,NA,-10710000
ABR,2022-09-30,USD,46558000,1257607000,NA,NA,33189000,14782000,NA,NA,NA,79054000,18732000,116949000,81518000,0,0,NA,83147000,83147000,NA,44523000,NA,0,44523000,NA,182239000,NA,73052000
