ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
AACI,2022-06-30,USD,185052,213015,27963,NA,-1550094,27963,NA,1522131,NA,213015,213015,NA,213015,NA,NA,NA,-1337079,NA,NA,-1550094,-1550094,-1550094,-1550094,-1337079
AADI,2022-09-30,USD,-6321000,4187000,10508000,593000,-15036000,9915000,8773000,18688000,620000,-58000,620000,58000,4245000,562000,NA,0,-14500000,0,58000,-14474000,-14573000,-14442000,-14442000,-14500000
AAL,2022-09-30,USD,3689000000,12963000000,9274000000,4904000000,930000000,495000000,NA,2348000000,70000000,-499000000,70000000,499000000,13462000000,157000000,NA,491000000,658000000,175000000,499000000,483000000,511000000,1157000000,1648000000,483000000
AAME,2022-09-30,USD,-14917000,46343000,61260000,NA,-18213000,281000,NA,281000,NA,-523000,NA,523000,46380000,NA,NA,218000,-949000,-265000,523000,-684000,-11024000,-426000,-208000,-684000
AAOI,2022-09-30,USD,9749000,54474000,61183000,46944000,-13496000,14039000,9206000,23245000,31000,-1621000,31000,1621000,56095000,-541000,5500000,5703000,-15627000,NA,1621000,-15627000,-23841000,-13496000,-7793000,-15627000
AAON,2022-09-30,USD,65591000,242101000,210944000,177014000,36700000,28891000,NA,29793000,NA,-954000,-943000,11000,242605000,54000,NA,902000,35800000,8327000,11000,27473000,27473000,36700000,36713000,27473000
AAPL,2022-09-30,USD,38095000000,89319000000,58491000000,52051000000,24894000000,6440000000,6761000000,13201000000,753000000,-827000000,74000000,827000000,90146000000,-163000000,NA,2865000000,24657000000,3936000000,827000000,20721000000,18909000000,25484000000,28349000000,20721000000
AAT,2022-09-30,USD,71108000,111023000,39915000,35468000,31003000,8865000,NA,41196000,NA,-14454000,14454000,14454000,11379000,-180000,NA,31729000,13127000,200000,14454000,12772000,16024000,31003000,59310000,12927000
AATC,2022-09-30,USD,2597000,3155000,558000,558000,796000,1220000,581000,1801000,8000,-18000,NA,18000,-20000,10000,24000,198000,796000,152000,18000,644000,623000,796000,1012000,644000
AAWW,2022-09-30,USD,539469000,1124554000,585085000,249975000,91758000,57237000,NA,132709000,2426000,-16097000,2426000,16097000,0,138000,90432000,90432000,78225000,18125000,16097000,60100000,60084000,91758000,184754000,60100000
