Symbol,Name,Description,CIK,Exchange,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
A,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,2022-10-31,45922650000,1935000000,34.8,2.301,17.93,0.84,0.006,4.179,22.9,0.183,0.236,0.0953,23.49,6848000000,3722000000,4.18,-0.151,0.114,160,37.24,26.25,6.71,8.42,6.98,25.08,1.061,161.59,112.13,137.07,129.8,295000000,2023-01-25,2022-12-30
AACI,Armada Acquisition Corp I,NA,1844817,"NASDAQ",REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"1760 MARKET STREET, SUITE 602, PHILADELPHIA, PA, UNITED STATES",September,2022-06-30,206888000,NA,NA,NA,0.044,0,0,-0.203,0,0,0,0,0,0,0,-0.203,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10.1,9.74,9.95,9.89,20709500,NA,NA
AADI,Aadi Bioscience Inc,NA,1422142,"NASDAQ",LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"9987 CARVER ROAD, CINCINNATI, OH, US",December,2022-09-30,326894000,-59277000,2.857,NA,6.93,0,0,4.69,0.522,0,-5.41,-0.205,-0.391,10989000,-18550000,4.69,0,18.23,42.5,2.857,NA,29.75,1.895,13.25,-2.342,NA,26.6,11,13.2,14.37,24395100,NA,NA
AAL,American Airlines Group,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",6201,"NASDAQ",ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US",December,2022-09-30,9079117000,2400000000,NA,0.627,0.365,0,0.0303,-3.671,69.58,-0.0356,3e-4,1e-4,0,45210001000,1934000000,-3.671,1.735,0.501,16.32,NA,8.7,0.201,NA,0.941,-363.5,1.488,21.42,11.65,13.56,15.09,649901000,2020-02-19,2020-02-04
AAME,Atlantic American Corporation,"Atlantic American Corporation provides life and health insurance and property and casualty products in the United States. The company is headquartered in Atlanta, Georgia.",8177,"NASDAQ",FINANCE,LIFE INSURANCE,"4370 PEACHTREE RD NE, ATLANTA, GA, US",December,2022-09-30,58861000,6691000,20.64,0,4.805,0.02,0.0071,0.14,9.44,0.0164,0.0299,0.0094,0.0264,192352000,20364000,0.14,-0.784,-0.06,NA,20.64,NA,0.306,0.588,0.366,NA,0.288,3.879,2.108,2.889,2.896,20367200,2022-04-27,2022-04-12
AAOI,Applied Opt,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber optic networking products globally. The company is headquartered in Sugar Land, Texas.",1158114,"NASDAQ",MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"13115 JESS PIRTLE BLVD, SUGAR LAND, TX, US",December,2022-09-30,66175000,-30379000,NA,0.51,7.08,0,0,-2.01,7.83,-0.281,-0.252,-0.0774,-0.262,215641000,37715000,-2.01,0,0.064,4.83,NA,84.03,0.307,0.315,0.868,-6.06,1.385,6.14,1.48,2.546,2.567,28523700,NA,NA
AAON,AAON Inc,"AAON, Inc. engages in the engineering, manufacturing, marketing and sales of heating and air conditioning equipment in the United States and Canada. The company is headquartered in Tulsa, Oklahoma.",824142,"NASDAQ",TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,"2425 SOUTH YUKON, TULSA, OK, US",December,2022-09-30,4279368000,119761000,64.35,2.87,9.84,0.38,0.0062,1.25,14.57,0.0878,0.112,0.0829,0.146,770472000,137830000,1.25,0.759,0.751,75,64.35,NA,5.55,7.81,5.64,36.34,0.755,83.24,47.19,65.25,57.8,53200000,2022-12-16,2022-11-25
AAPL,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,"NASDAQ",TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2022-09-30,2351376105000,130541003000,23.06,2.865,3.178,0.9,0.0065,6.41,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,6.41,0.048,0.081,178.15,23.06,24.1,5.96,46.5,6.16,18.24,1.247,181.88,128.65,145.75,153.97,15908100000,2022-11-10,2022-11-04
AAT,American Assets Trust Inc,"American Assets Trust, Inc. is a self-managed, vertically integrated, full-service real estate investment trust, or REIT, based in San Diego, California.",1500217,NYSE,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"11455 EL CAMINO REAL, SUITE 200, SAN DIEGO, CA, US",December,2022-09-30,2144036000,233746000,40.51,21.85,20.33,1.26,0.045,0.69,6.91,0.101,0.274,0.0234,0.0447,414600000,247833000,0.69,0.271,0.126,33.75,40.51,NA,5.17,1.4,7.89,13.93,1.095,38.27,24.01,26.92,31.04,60528000,2022-12-22,2022-12-07
AATC,Autoscope Technologies Corp,NA,943034,"NASDAQ",LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","400 SPRUCE TREE CENTRE, 1600 UNIVERSITY AVE, ST PAUL, MN, US",December,2022-09-30,27038600,1368000,50,NA,3.45,0.6,0.099,0.1,2.221,0.0449,0.102,0.0351,0.0272,11929000,10235000,0.1,0.086,-0.036,NA,50,NA,2.267,1.414,2.044,11.16,0.776,7.05,3.846,4.487,5.47,5407700,2022-12-05,2022-11-25
