symbol,name,exchange,quarter_end_date,sector,mkt_cap,industry,state,eps,previous_eps,eps_change,eps_binary,eps_change_binary,total_revenue,profit_margin,ebitda,operating_margin,current_ratio,debt_ratio,debt_equity,interest_cov,gross_margin,roa,roe,federal_funds_rate,fed_rate_change
A,Agilent Technologies Inc,NYSE,2022-07-31,LIFE SCIENCES,45922650000,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,CA,1.34,1.13,-0.2100000000000002,1,0,1711000000,19.22852,27.11864,124.92401,194.006,27.776,57.199,2163.2,142.249,3.138,6.462,1.58,1.25
AAL,American Airlines Group,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,9079117000,"AIR TRANSPORTATION, SCHEDULED",TX,0.69,0.76,0.07000000000000006,1,1,12963000000,3.72599,12.71311,192.54658,79.094,50.408,559966.667,186.4,763.768,0.725,8050,3.08,1.5
AAME,Atlantic American Corporation,"NASDAQ",2022-09-30,FINANCE,58861000,LIFE INSURANCE,GA,-0.0385,-0.09,-0.0515,0,0,46343000,-1.47595,-0.44883,2662.7193,145.602,9.64,35.479,-3482.4,2180.848,-0.19,-0.699,3.08,1.5
AAOI,Applied Opt,"NASDAQ",2022-09-30,MANUFACTURING,66175000,SEMICONDUCTORS & RELATED DEVICES,TX,-0.26,-0.28,-0.020000000000000018,0,0,54474000,-28.68708,-14.30591,86.36335,143.48,12.395,25.868,-832.6,-62.386,-3.772,-7.871,3.08,1.5
AAPL,Apple Inc,"NASDAQ",2022-09-30,TECHNOLOGY,2351376105000,ELECTRONIC COMPUTERS,CA,1.29,1.2,-0.09000000000000008,1,0,89319000000,23.19887,31.73905,120.13899,87.936,66.124,460.325,3010.2,183.847,5.874,40.892,3.08,1.5
AAT,American Assets Trust Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,2144036000,REAL ESTATE INVESTMENT TRUSTS,CA,0.21,0.18,-0.03,1,0,111023000,11.64353,53.42136,239.83136,43.078,57.251,139.995,214.5,550.073,0.43,1.051,3.08,1.5
AATC,Autoscope Technologies Corp,"NASDAQ",2022-09-30,LIFE SCIENCES,27038600,"MEASURING & CONTROLLING DEVICES, NEC",MN,0.12,0.01,-0.11,1,0,3155000,20.41204,32.07607,123.60248,697.18,7.77,9.084,4422.2,403.261,2.952,3.451,3.08,1.5
AAWW,Atlas Air Worldwide Holdings,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,2842093000,"AIR TRANSPORTATION, NONSCHEDULED",NY,2.69,3.36,0.6699999999999999,1,1,1124554000,5.34434,16.42909,152.67554,71.876,25.703,54.712,570,897.619,0.963,2.049,3.08,1.5
ABBV,AbbVie Inc,NYSE,2022-09-30,LIFE SCIENCES,289429455000,PHARMACEUTICAL PREPARATIONS,IL,3.66,3.37,-0.29000000000000004,1,0,14812000000,26.66082,46.96867,116.56115,92.822,0.007,0.063,822,94.1,2.794,24.691,3.08,1.5
ABC,AmerisourceBergen,NYSE,2022-09-30,TRADE & SERVICES,35222708000,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",PA,2.6,2.62,0.020000000000000018,1,1,61174149000,0.4818,1.02181,154.21172,91.057,10.083,8001.393,882.2,673.671,0.521,413.532,3.08,1.5
ABCB,Ameris Bancorp,"NASDAQ",2022-09-30,FINANCE,3651367000,STATE COMMERCIAL BANKS,GA,1.34,1.3,-0.040000000000000036,1,0,260653000,35.50889,56.43749,26.85754,1.383,0.537,4.098,116.6,111.95,0.389,2.967,3.08,1.5
ABG,Asbury Automotive Group Inc,NYSE,2022-09-30,TRADE & SERVICES,4057440000,RETAIL-AUTO DEALERS & GASOLINE STATIONS,GA,9.23,10.04,0.8099999999999987,1,1,3865900000,5.30278,8.50513,152.97561,156.434,42.438,125.51,812.4,374.537,2.623,7.757,3.08,1.5
ABM,ABM Industries Incorporated,NYSE,2022-07-31,TRADE & SERVICES,3062153000,SERVICES-TO DWELLINGS & OTHER BUILDINGS,NY,0.94,0.89,-0.04999999999999993,1,0,1950300000,2.91237,5.49146,156.16197,120.884,22.506,61.715,799.1,136.62,1.233,3.38,1.58,1.25
ABNB,Airbnb Inc - Class A,"NASDAQ",2022-09-30,TRADE & SERVICES,63950881000,SERVICES-TO DWELLINGS & OTHER BUILDINGS,CA,1.79,0.56,-1.23,1,0,2884410000,42.09831,42.16793,99.11001,185.476,-0.089,-0.259,21180.6,204.503,7.553,21.918,3.08,1.5
ABR,Arbor Realty Trust,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,2533404000,REAL ESTATE INVESTMENT TRUSTS,NY,0.36,0.41,0.04999999999999999,1,1,171366000,42.62923,137.25476,60.69512,20.015,81.386,512.469,27.6,138.949,0.411,2.59,3.08,1.5
ABSI,Absci Corp,"NASDAQ",2022-09-30,TRADE & SERVICES,244846000,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,WA,-0.3,-0.32,-0.020000000000000018,0,0,2369000,-1150.65428,-982.01773,102.59731,670.644,2.614,3.028,-10024,33.156,-8.032,-9.305,3.08,1.5
ABT,Abbott Laboratories,NYSE,2022-09-30,LIFE SCIENCES,188462481000,PHARMACEUTICAL PREPARATIONS,IL,1.15,1.43,0.28,1,1,10250000000,14,23.38537,123.34495,185.896,22.546,46.01,1255.3,166.69,1.971,4.022,3.08,1.5
ACAD,ACADIA Pharmaceuticals Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,2552033000,PHARMACEUTICAL PREPARATIONS,CA,-0.17,-0.21,-0.03999999999999998,0,0,130714000,-20.79578,-18.06539,113.54891,447.415,10.457,14.8,-1344.9,-185.668,-4.512,-6.386,3.08,1.5
ACCD,Accolade Inc,"NASDAQ",2022-08-31,TRADE & SERVICES,639537000,"SERVICES-BUSINESS SERVICES, NEC",PA,-0.66,-4.92,-4.26,0,0,175286000,-26.5412,-19.58913,98.67807,332.665,30.367,55.879,-19452.5,-146.012,-4.993,-9.189,2.33,1.5
ACCO,Acco Brands Corporation,NYSE,2022-09-30,MANUFACTURING,527861000,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",IL,0.25,0.37,0.12,1,1,485600000,-14.14745,-8.77265,91.70306,181.533,38.244,138.487,-520.7,-200,-2.428,-8.793,3.08,1.5
ACHC,Acadia Healthcare Company Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,7955003000,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",TN,0.8,0.84,0.039999999999999925,1,1,648729000,10.95974,19.35292,-48.78831,130.085,28.334,51.046,-4230.2,246.454,1.438,2.591,3.08,1.5
ACIW,ACI Worldwide Inc,"NASDAQ",2022-09-30,TECHNOLOGY,2438516000,SERVICES-PREPACKAGED SOFTWARE,FL,0.2,0.12,-0.08000000000000002,1,0,295250000,7.82964,27.15292,15.09279,121.342,30.901,84.155,24.3,534.226,0.708,1.929,3.08,1.5
