,Symbol,Name,Sector,Industry
0,A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products
1,AACI,Armada Acquisition Corp. I Common Stock,Industrials,Consumer Electronics/Appliances
3,AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
8,AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
12,AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance
13,AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors
14,AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
16,AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
17,AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
18,AATC,Autoscope Technologies Corporation Common Stock,Industrials,Industrial Machinery/Components
19,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Consumer Discretionary,Transportation Services
21,ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
22,ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
23,ABCB,Ameris Bancorp Common Stock,Finance,Major Banks
24,ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
25,ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Other Specialty Stores
27,ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
28,ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services
29,ABMD,ABIOMED Inc. Common Stock,Health Care,Medical/Dental Instruments
30,ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
31,ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
32,ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
36,ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
37,ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
38,ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
39,AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
40,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances
41,ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
43,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
44,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
47,ACAX,Alset Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
51,ACCD,Accolade Inc. Common Stock,Technology,Interactive Media
52,ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Advertising
53,ACDC,ProFrac Holding Corp. Class A Common Stock,Industrials,Metal Fabrications
56,ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
57,ACET,Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations
58,ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management
59,ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace
61,ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
62,ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services
63,ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
64,ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
65,ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
66,ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components
67,ACNB,ACNB Corporation Common Stock,Finance,Major Banks
68,ACNT,Ascent Industries Co. Common Stock,Industrials,Steel/Iron Ore
69,ACON,Aclarion Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
71,ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
77,ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate,Real Estate Investment Trusts
80,ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,Real Estate Investment Trusts
81,ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
82,ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
83,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
84,ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
85,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies
86,ACU,Acme United Corporation. Common Stock,Consumer Discretionary,Home Furnishings
88,ACVA,ACV Auctions Inc. Class A Common Stock,Industrials,Metal Fabrications
89,ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
92,ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
93,ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
96,ADEA,Adeia Inc. Common Stock,Technology,EDP Services
97,ADER,26 Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
99,ADES,Advanced Emissions Solutions Inc. Common Stock,Industrials,Industrial Specialties
100,ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
101,ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
102,ADM,Archer-Daniels-Midland Company Common Stock,,
103,ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
104,ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
105,ADN,Advent Technologies Holdings Inc. Class A Common Stock,Utilities,Power Generation
110,ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services
111,ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
112,ADRA,Adara Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
113,ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
114,ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
115,ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary,Advertising
117,ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment
118,ADTX,Aditxt Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
119,ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
120,ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Advertising
121,ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
124,AE,Adams Resources & Energy Inc. Common Stock,Energy,Oilfield Services/Equipment
128,AEAE,AltEnergy Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
131,AEE,Ameren Corporation Common Stock,Utilities,Power Generation
132,AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance,Finance/Investors Services
133,AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,Industrials,Consumer Electronics/Appliances
134,AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products
135,AEI,Alset Inc. Common Stock (TX),Real Estate,Building operators
136,AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Electrical Products
137,AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
140,AEMD,Aethlon Medical Inc. Common Stock,Miscellaneous,Diversified Commercial Services
141,AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
142,AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
144,AERC,AeroClean Technologies Inc. Common Stock,Utilities,Environmental Services
145,AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
147,AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Discretionary,Durable Goods
148,AEYE,AudioEye Inc. Common Stock,Technology,EDP Services
149,AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,Miscellaneous,Other Pharmaceuticals
152,AFAQ,AF Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
156,AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks
157,AFCG,AFC Gamma Inc. Common Stock,Real Estate,Real Estate Investment Trusts
158,AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
163,AFIB,Acutus Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
164,AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
165,AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services
166,AGAE,Allied Gaming & Entertainment Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services
167,AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
169,AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
170,AGFS,AgroFresh Solutions Inc. Common Stock,,
171,AGFY,Agrify Corporation Common Stock,Consumer Discretionary,Military/Government/Technical
175,AGIL,AgileThought Inc. Class A Common Stock,Technology,EDP Services
176,AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
177,AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
178,AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
184,AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
190,AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
191,AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
192,AGS,PlayAGS Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
193,AGX,Argan Inc. Common Stock,Industrials,Oilfield Services/Equipment
194,AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software
195,AHCO,AdaptHealth Corp. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
196,AHH,Armada Hoffler Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
198,AHPI,Allied Healthcare Products Inc. Common Stock,Health Care,Industrial Specialties
199,AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,Real Estate Investment Trusts
207,AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
209,AIKI,AIkido Pharma Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
210,AIM,AIM ImmunoTech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
213,AIMC,Altra Industrial Motion Corp. Common Stock,Industrials,Industrial Machinery/Components
214,AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
216,AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
217,AINC,Ashford Inc. (Holding Company) Common Stock,Finance,Investment Managers
218,AIP,Arteris Inc. Common Stock,Technology,Semiconductors
219,AIR,AAR Corp. Common Stock,Industrials,Aerospace
220,AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
221,AIRI,Air Industries Group Common Stock,Industrials,Military/Government/Technical
222,AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Hospital/Nursing Management
223,AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
225,AIT,Applied Industrial Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
226,AIV,Apartment Investment and Management Company Common Stock,Real Estate,Real Estate Investment Trusts
227,AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers
229,AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
230,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Industrials,Military/Government/Technical
231,AJX,Great Ajax Corp. Common Stock,Real Estate,Real Estate Investment Trusts
233,AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
234,AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
238,AKLI,Akili Inc. Common Stock,Technology,Computer Software: Prepackaged Software
239,AKR,Acadia Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
240,AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
241,AKTS,Akoustis Technologies Inc. Common Stock,Utilities,Telecommunications Equipment
242,AKU,Akumin Inc. Common Stock (DE),Health Care,Medical Specialities
243,AKYA,Akoya BioSciences Inc. Common Stock,Industrials,Medical Specialities
244,AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
246,ALB,Albemarle Corporation Common Stock,Industrials,Industrial Specialties
247,ALBO,Albireo Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
248,ALBT,Avalon GloboCare Corp. Common Stock,Real Estate,Building operators
249,ALCO,Alico Inc. Common Stock,,
250,ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
252,ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
253,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,Real Estate,Real Estate Investment Trusts
254,ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components
255,ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
256,ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
257,ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
258,ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
259,ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities
260,ALIM,Alimera Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
261,ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
262,ALKT,Alkami Technology Inc. Common Stock,Technology,EDP Services
263,ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
269,ALLK,Allakos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
270,ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
271,ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
272,ALLY,Ally Financial Inc. Common Stock,Finance,Diversified Financial Services
273,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
276,ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment
277,ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,Industrials,Consumer Electronics/Appliances
278,ALPN,Alpine Immune Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
279,ALPP,Alpine 4 Holdings Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances
280,ALR,AlerisLife Inc. Common Stock,Health Care,Hospital/Nursing Management
281,ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
282,ALRN,Aileron Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
283,ALRS,Alerus Financial Corporation Common Stock,Finance,Commercial Banks
288,ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
289,ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
290,ALTO,Alto Ingredients Inc. Common Stock,Industrials,Industrial Specialties
291,ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
292,ALTU,Altitude Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
295,ALVR,AlloVir Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
296,ALX,Alexander's Inc. Common Stock,Real Estate,Real Estate Investment Trusts
297,ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
298,ALZN,Alzamend Neuro Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
299,AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
300,AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Commercial Banks
301,AMAO,American Acquisition Opportunity Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances
303,AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
305,AMBC,Ambac Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
