date,treasury_10y_yield,treasury_2y_yield,federal_funds_rate
2022-12-02,3.63,4.37,3.83
2022-11-25,3.75,4.46,3.83
2022-11-18,3.79,4.41,3.83
2022-11-11,4.08,4.59,3.83
2022-11-04,4.12,4.61,3.08
2022-10-28,4.07,4.40,3.08
2022-10-21,4.12,4.51,3.08
2022-10-14,3.95,4.38,3.08
2022-10-07,3.75,4.18,3.08
2022-09-30,3.83,4.20,3.08
2022-09-23,3.59,4.05,2.33
2022-09-16,3.42,3.77,2.33
2022-09-09,3.31,3.50,2.33
2022-09-02,3.17,3.45,2.33
2022-08-26,3.05,3.34,2.33
2022-08-19,2.87,3.24,2.33
2022-08-12,2.81,3.24,2.33
2022-08-05,2.72,3.07,2.33
2022-07-29,2.75,2.94,1.58
2022-07-22,2.94,3.14,1.58
2022-07-15,2.95,3.10,1.58
2022-07-08,2.96,2.99,1.58
2022-07-01,3.07,3.00,1.58
2022-06-24,3.17,3.08,1.58
2022-06-17,3.36,3.27,0.83
2022-06-10,3.05,2.83,0.83
2022-06-03,2.92,2.63,0.83
2022-05-27,2.77,2.51,0.83
2022-05-20,2.87,2.64,0.83
2022-05-13,2.94,2.61,0.83
2022-05-06,3.01,2.72,0.33
2022-04-29,2.83,2.62,0.33
2022-04-22,2.89,2.61,0.33
2022-04-15,2.76,2.43,0.33
2022-04-08,2.59,2.49,0.33
2022-04-01,2.39,2.35,0.33
2022-03-25,2.37,2.18,0.33
2022-03-18,2.16,1.92,0.08
2022-03-11,1.91,1.67,0.08
2022-03-04,1.80,1.46,0.08
2022-02-25,1.97,1.56,0.08
2022-02-18,1.99,1.53,0.08
2022-02-11,1.95,1.42,0.08
2022-02-04,1.83,1.20,0.08
2022-01-28,1.79,1.09,0.08
2022-01-21,1.82,1.05,0.08
2022-01-14,1.75,0.93,0.08
2022-01-07,1.70,0.83,0.08
2021-12-31,1.51,0.74,0.08
2021-12-24,1.47,0.69,0.08
2021-12-17,1.44,0.66,0.08
2021-12-10,1.48,0.68,0.08
2021-12-03,1.43,0.56,0.08
2021-11-26,1.61,0.59,0.08
2021-11-19,1.60,0.53,0.08
2021-11-12,1.53,0.48,0.08
2021-11-05,1.54,0.45,0.08
2021-10-29,1.59,0.48,0.08
2021-10-22,1.65,0.44,0.08
2021-10-15,1.57,0.37,0.08
2021-10-08,1.55,0.30,0.08
2021-10-01,1.51,0.29,0.08
2021-09-24,1.37,0.25,0.08
2021-09-17,1.33,0.22,0.08
2021-09-10,1.35,0.23,0.08
2021-09-03,1.30,0.20,0.08
2021-08-27,1.31,0.23,0.09
2021-08-20,1.26,0.22,0.10
2021-08-13,1.34,0.23,0.10
2021-08-06,1.22,0.19,0.09
2021-07-30,1.26,0.20,0.10
2021-07-23,1.26,0.21,0.10
2021-07-16,1.36,0.24,0.10
2021-07-09,1.34,0.22,0.10
2021-07-02,1.47,0.25,0.10
2021-06-25,1.50,0.26,0.10
2021-06-18,1.51,0.20,0.06
2021-06-11,1.50,0.15,0.06
2021-06-04,1.60,0.15,0.05
2021-05-28,1.59,0.14,0.06
2021-05-21,1.64,0.16,0.06
2021-05-14,1.65,0.16,0.06
2021-05-07,1.60,0.16,0.06
2021-04-30,1.63,0.17,0.07
2021-04-23,1.58,0.16,0.07
2021-04-16,1.62,0.16,0.07
2021-04-09,1.68,0.16,0.07
2021-04-02,1.72,0.16,0.07
2021-03-26,1.65,0.14,0.07
2021-03-19,1.66,0.15,0.07
2021-03-12,1.57,0.16,0.07
2021-03-05,1.49,0.14,0.07
2021-02-26,1.42,0.13,0.07
2021-02-19,1.31,0.12,0.08
2021-02-12,1.18,0.11,0.08
2021-02-05,1.14,0.11,0.07
2021-01-29,1.06,0.12,0.08
2021-01-22,1.11,0.13,0.09
2021-01-15,1.13,0.14,0.09
2021-01-08,1.03,0.13,0.09
2021-01-01,0.94,0.13,0.09
2020-12-25,0.95,0.13,0.09
2020-12-18,0.93,0.13,0.09
2020-12-11,0.93,0.14,0.09
2020-12-04,0.92,0.16,0.08
2020-11-27,0.87,0.16,0.08
2020-11-20,0.87,0.17,0.09
2020-11-13,0.93,0.18,0.09
2020-11-06,0.83,0.15,0.09
2020-10-30,0.82,0.16,0.09
2020-10-23,0.83,0.16,0.09
2020-10-16,0.74,0.15,0.09
2020-10-09,0.78,0.15,0.09
2020-10-02,0.68,0.13,0.09
2020-09-25,0.67,0.13,0.09
2020-09-18,0.69,0.14,0.09
2020-09-11,0.69,0.14,0.09
2020-09-04,0.68,0.14,0.09
2020-08-28,0.70,0.15,0.09
2020-08-21,0.67,0.14,0.10
2020-08-14,0.67,0.15,0.10
2020-08-07,0.55,0.11,0.10
2020-07-31,0.58,0.13,0.09
2020-07-24,0.60,0.15,0.09
2020-07-17,0.63,0.15,0.09
2020-07-10,0.66,0.16,0.09
2020-07-03,0.67,0.16,0.08
2020-06-26,0.69,0.18,0.09
2020-06-19,0.72,0.19,0.08
2020-06-12,0.77,0.19,0.07
2020-06-05,0.77,0.18,0.05
2020-05-29,0.68,0.18,0.05
2020-05-22,0.69,0.17,0.05
2020-05-15,0.67,0.16,0.05
2020-05-08,0.67,0.17,0.05
2020-05-01,0.64,0.21,0.04
2020-04-24,0.61,0.21,0.05
2020-04-17,0.68,0.22,0.05
2020-04-10,0.73,0.26,0.05
2020-04-03,0.65,0.23,0.09
2020-03-27,0.81,0.31,0.15
2020-03-20,0.99,0.44,0.74
2020-03-13,0.79,0.47,1.09
2020-03-06,0.96,0.66,1.51
2020-02-28,1.29,1.12,1.58
2020-02-21,1.52,1.39,1.58
2020-02-14,1.59,1.42,1.58
2020-02-07,1.61,1.41,1.59
2020-01-31,1.59,1.41,1.55
2020-01-24,1.75,1.52,1.55
2020-01-17,1.82,1.58,1.54
2020-01-10,1.84,1.56,1.55
2020-01-03,1.88,1.57,1.55
2019-12-27,1.90,1.62,1.55
2019-12-20,1.91,1.63,1.55
2019-12-13,1.84,1.63,1.55
2019-12-06,1.79,1.58,1.56
2019-11-29,1.76,1.61,1.55
2019-11-22,1.77,1.59,1.55
2019-11-15,1.87,1.62,1.55
2019-11-08,1.86,1.64,1.57
2019-11-01,1.78,1.59,1.83
2019-10-25,1.78,1.60,1.85
2019-10-18,1.76,1.59,1.84
2019-10-11,1.62,1.50,1.82
2019-10-04,1.60,1.49,1.85
2019-09-27,1.70,1.65,1.90
2019-09-20,1.80,1.73,2.19
2019-09-13,1.76,1.69,2.13
2019-09-06,1.52,1.50,2.13
2019-08-30,1.50,1.52,2.12
2019-08-23,1.58,1.54,2.13
2019-08-16,1.60,1.56,2.12
2019-08-09,1.73,1.61,2.13
2019-08-02,1.98,1.81,2.40
2019-07-26,2.07,1.84,2.41
2019-07-19,2.07,1.82,2.39
2019-07-12,2.09,1.86,2.41
2019-07-05,2.00,1.80,2.40
2019-06-28,2.02,1.74,2.38
2019-06-21,2.05,1.79,2.37
2019-06-14,2.12,1.88,2.37
2019-06-07,2.10,1.85,2.39
2019-05-31,2.22,2.06,2.38
2019-05-24,2.37,2.20,2.39
2019-05-17,2.40,2.19,2.38
2019-05-10,2.47,2.28,2.40
2019-05-03,2.53,2.31,2.44
2019-04-26,2.55,2.33,2.44
2019-04-19,2.58,2.40,2.41
2019-04-12,2.52,2.35,2.41
2019-04-05,2.50,2.33,2.42
2019-03-29,2.41,2.24,2.41
2019-03-22,2.55,2.41,2.40
2019-03-15,2.62,2.45,2.40
2019-03-08,2.68,2.51,2.40
2019-03-01,2.70,2.51,2.40
2019-02-22,2.66,2.50,2.40
2019-02-15,2.67,2.51,2.40
2019-02-08,2.68,2.50,2.40
2019-02-01,2.70,2.53,2.40
2019-01-25,2.75,2.58,2.40
2019-01-18,2.74,2.56,2.40
2019-01-11,2.72,2.56,2.40
2019-01-04,2.65,2.47,2.40
2018-12-28,2.76,2.56,2.40
2018-12-21,2.81,2.66,2.19
2018-12-14,2.89,2.75,2.19
2018-12-07,2.90,2.78,2.20
2018-11-30,3.05,2.82,2.20
2018-11-23,3.06,2.80,2.20
2018-11-16,3.11,2.86,2.19
2018-11-09,3.21,2.94,2.20
2018-11-02,3.14,2.85,2.20
2018-10-26,3.14,2.86,2.19
2018-10-19,3.18,2.88,2.18
2018-10-12,3.18,2.87,2.18
2018-10-05,3.14,2.85,2.18
