...1,Symbol,Name,Sector,Sector_NDAQ,Industry,Industry_NDAQ,Description,Exchange,LatestQuarter,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
0,A,Agilent Technologies Inc,LIFE SCIENCES,Industrials,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,Electrical Products,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",NYSE,2022-10-31,45922650000,17.93,0.006,0.84,4.179,22.9,0.183,0.236,0.0953,23.49,6848000000,3722000000,-0.151,0.114
2,AADI,Aadi Bioscience Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,NA,"NASDAQ",2022-09-30,326894000,6.93,0,0,4.69,0.522,0,-3,-0.205,-0.391,10989000,-18550000,0,10
3,AAL,American Airlines Group,ENERGY & TRANSPORTATION,Consumer Discretionary,"AIR TRANSPORTATION, SCHEDULED",Air Freight/Delivery Services,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.","NASDAQ",2022-09-30,9079117000,0.365,0.0303,0,-3.671,69.58,-0.0356,3e-4,1e-4,0,45210001000,1934000000,1.735,0.501
4,AAME,Atlantic American Corporation,FINANCE,Finance,LIFE INSURANCE,Life Insurance,"Atlantic American Corporation provides life and health insurance and property and casualty products in the United States. The company is headquartered in Atlanta, Georgia.","NASDAQ",2022-09-30,58861000,4.805,0.0071,0.02,0.14,9.44,0.0164,0.0299,0.0094,0.0264,192352000,20364000,-0.784,-0.06
5,AAOI,Applied Opt,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber optic networking products globally. The company is headquartered in Sugar Land, Texas.","NASDAQ",2022-09-30,66175000,7.08,0,0,-2.01,7.83,-0.281,-0.252,-0.0774,-0.262,215641000,37715000,0,0.064
6,AAON,AAON Inc,TECHNOLOGY,Industrials,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,Industrial Machinery/Components,"AAON, Inc. engages in the engineering, manufacturing, marketing and sales of heating and air conditioning equipment in the United States and Canada. The company is headquartered in Tulsa, Oklahoma.","NASDAQ",2022-09-30,4279368000,9.84,0.0062,0.38,1.25,14.57,0.0878,0.112,0.0829,0.146,770472000,137830000,0.759,0.751
7,AAPL,Apple Inc,TECHNOLOGY,Technology,ELECTRONIC COMPUTERS,Computer Manufacturing,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.","NASDAQ",2022-09-30,2351376105000,3.178,0.0065,0.9,6.41,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,0.048,0.081
8,AAT,American Assets Trust Inc,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"American Assets Trust, Inc. is a self-managed, vertically integrated, full-service real estate investment trust, or REIT, based in San Diego, California.",NYSE,2022-09-30,2144036000,20.33,0.045,1.26,0.69,6.91,0.101,0.274,0.0234,0.0447,414600000,247833000,0.271,0.126
9,AATC,Autoscope Technologies Corp,LIFE SCIENCES,Industrials,"MEASURING & CONTROLLING DEVICES, NEC",Industrial Machinery/Components,NA,"NASDAQ",2022-09-30,27038600,3.45,0.099,0.6,0.1,2.221,0.0449,0.102,0.0351,0.0272,11929000,10235000,0.086,-0.036
10,AAWW,Atlas Air Worldwide Holdings,ENERGY & TRANSPORTATION,Consumer Discretionary,"AIR TRANSPORTATION, NONSCHEDULED",Transportation Services,"Atlas Air Worldwide Holdings, Inc., provides outsourced aircraft and aviation operating services. The company is headquartered in Purchase, New York.","NASDAQ",2022-09-30,2842093000,60,0,0,12.46,157.34,0.0903,0.137,0.0618,0.146,4504678000,1351091000,-0.541,0.107
