,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
0,45922650000,17.93,0.006,0.84,4.179,22.9,0.183,0.236,0.0953,23.49,6848000000,3722000000,-0.151,0.114
1,206888000,0.044,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,326894000,6.93,0.0,0.0,4.69,0.522,0.0,-5.41,-0.205,-0.391,10989000,-18550000,0.0,18.23
3,9079117000,0.365,0.0303,0.0,-3.671,69.58,-0.0356,0.0003,0.0001,0.0,45210001000,1934000000,1.735,0.501
4,58861000,4.805,0.0071,0.02,0.14,9.44,0.0164,0.0299,0.0094,0.0264,192352000,20364000,-0.784,-0.06
5,66175000,7.08,0.0,0.0,-2.01,7.83,-0.281,-0.252,-0.0774,-0.262,215641000,37715000,0.0,0.064
6,4279368000,9.84,0.0062,0.38,1.25,14.57,0.0878,0.112,0.0829,0.146,770472000,137830000,0.759,0.751
7,2351376105000,3.178,0.0065,0.9,6.41,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,0.048,0.081
8,2144036000,20.33,0.045,1.26,0.69,6.91,0.101,0.274,0.0234,0.0447,414600000,247833000,0.271,0.126
9,27038600,3.45,0.099,0.6,0.1,2.221,0.0449,0.102,0.0351,0.0272,11929000,10235000,0.086,-0.036
10,2842093000,103.4,0.0,0.0,12.46,157.34,0.0903,0.137,0.0618,0.146,4504678000,1351091000,-0.541,0.107
11,289429455000,9.04,0.0374,5.64,7.64,32.64,0.232,0.365,0.0909,0.906,57819001000,38883000000,0.242,0.033
12,35222708000,0.344,0.0116,1.84,8.04,1144.46,0.0071,0.0117,0.0306,0.508,238587003000,8334565000,-0.323,0.038
13,3651367000,45.12,0.0115,0.6,4.98,14.34,0.349,0.462,0.0149,0.115,993131000,1041196000,0.144,0.04
14,68531000,2.009,0.0,0.0,38.68,0.782,0.0,-10.92,-0.376,-1.792,4346000,-299000,0.0,0.0
15,4057440000,119.41,0.0,0.0,35.43,649.33,0.0546,0.0838,0.132,0.398,14382700000,1902200000,0.224,0.607
16,30333300,2.965,0.0,0.0,-1.283,0.0,0.0,0.0,-0.166,-0.29,0,0,0.0,0.0
